ID,NAME,STATE_NAME,ST_ABBREV,TOTPOP_CY,POPDENS_CY,TOTHH_CY,TOTHU_CY,OWNER_CY,RENTER_CY,POPGRW10CY,HAI_CY,INCMORT_CY,TSPOP10_CY,TSHH10_CY,TSHU10_CY,MINORITYCY,DIVINDX_CY,MEDHINC_CY,PCI_CY,MEDVAL_CY,AVGVAL_CY,TOTPOP_FY,POPDENS_FY,TOTHH_FY,TOTHU_FY,POPGRWCYFY,POPGRW0010,AnnPopChange2010_2020,PercPopChange2010_2020,AnnHUChange2010_2020,PercHUChange2010_2020,AnnHHChange2010_2020,PercHHChange2010_2020,WHPWeightedPop,MIN_,MAX_,RANGE,MEAN,STD,SUM_,VARIETY,MAJORITY,MINORITY,MEDIAN,Shape__Area,Shape__Length
06021,Glenn County,California,CA,29010,22.1,10095,11185,5598,4497,0.3,112,21.1,28164,9814,10790,14678,77.2,49079,21678,248112,305194,28850,22.0,10033,11380,-0.11,0.61,0.29639870968880544,7.840593141797961,0.3601852704590458,3.66079703429101,0.2827019915221385,2.8632565722437335,0.8922018166357498,0,5,5,2.376063479939745,1.672272888047619,111991.0,6,3,1,3,3436357222.2802734,302930.38067134446
06023,Humboldt County,California,CA,139364,39.1,57529,63591,30697,26832,0.34,89,27.0,134690,56062,61585,37445,51.1,52477,29149,339406,389181,141070,39.5,58162,64855,0.24,0.62,0.34171626056154203,7.589510432735244,0.3210504315413809,3.257286676950556,0.25864337963337203,2.616745745781456,2.110434273736232,0,5,5,3.4712848722986247,1.2650091434425113,441721.0,6,4,0,4,9286829516.806152,604354.2676198061
06025,Imperial County,California,CA,179185,42.9,50848,58658,32328,18520,0.26,134,17.2,174881,49233,56194,162047,75.6,50542,18491,207864,242285,185386,44.4,52649,61043,0.68,2.06,0.243426292472404,7.659180695447912,0.4300619088735136,4.384809766167207,0.32328805215071643,3.2803201104949933,0.2893075221340645,0,5,5,0.2521337729627885,0.5497160234105622,40146.0,6,0,5,0,11607323272.400269,494907.1683021401
06027,Inyo County,California,CA,18450,1.8,8021,9478,5041,2980,-0.05,106,22.3,18545,8050,9478,7282,68.0,53067,30912,283573,293364,18071,1.8,7857,9536,-0.41,0.33,-0.05134521837908412,-1.0023211648027008,0.0,0.0,-0.03608337883924673,-0.3602484472049689,1.2755763421057833,0,5,5,1.1283040678152694,1.0564627846046204,409958.0,6,1,5,1,26488411961.47119,840496.3087747135
06029,Kern County,California,CA,905189,111.3,273158,303102,164525,108633,0.74,120,18.9,841323,255055,284830,613304,84.0,52884,22525,239265,306568,938629,115.4,281851,315327,0.73,2.41,0.7343644150411555,22.42249763016536,0.6237057086864617,6.415054593968332,0.6880681276283829,7.097684813079532,0.6800650694949276,0,5,5,1.9323397461318033,1.6181425780672245,560365.0,6,0,4,2,21140600951.9021,700372.3375594971
06031,Kings County,California,CA,157728,113.5,44287,47140,25441,18846,0.3,153,15.5,153157,41290,43938,109644,86.3,60331,22248,224268,282560,162496,117.0,45725,49048,0.6,1.68,0.2945177685537814,10.403295552824435,0.705903316153722,7.287541535800446,0.7031691090586545,7.258416081375636,0.6646156832743427,0,5,5,0.9368704235608236,1.1782888740617723,46317.0,6,0,5,0,3603132060.9501953,285091.12728430884
06033,Lake County,California,CA,66276,52.7,27103,35492,18664,8439,0.24,119,19.4,64749,26583,35536,20955,61.6,50428,30195,234727,294275,65744,52.3,26850,35682,-0.16,1.04,0.23336772218591761,4.29705087798289,-0.012388714325206607,-0.12381809995497524,0.19391285961165572,1.9561373810329912,2.7058259572041186,0,5,5,3.5762073126839287,1.5422815403802534,168915.0,6,5,1,4,3443833854.4038086,356004.5852280413
06035,Lassen County,California,CA,32159,7.1,9855,12710,6862,2993,-0.79,148,16.0,34887,10054,12711,11559,64.7,55348,22118,211732,279281,31177,6.9,9471,12805,-0.62,0.31,-0.810913390650625,-21.46172606403902,-0.0007867480168122221,-0.00786720163637794,-0.19971654722797938,-1.9793117167296599,2.883734978948612,0,5,5,3.3910018303989315,1.3934753813591778,568749.0,6,4,1,4,12227775729.156982,590870.4887962987
06037,Los Angeles County,California,CA,10173432,2507.1,3338199,3571222,1501555,1836644,0.35,63,38.0,9824890,3243312,3447763,7580108,86.8,69795,33527,635043,777612,10311054,2541.0,3377828,3628825,0.27,0.31,0.34921488426948866,10.109221544520317,0.35244181271396613,3.580843578865485,0.2887802700686448,2.9256204768458907,0.5059106873355335,0,5,5,2.3397244601887013,1.9432370321957877,339487.0,6,0,1,3,10585974399.232666,841840.8819857729
06039,Madera County,California,CA,159170,74.5,45791,51491,30942,14849,0.52,115,20.7,151114,43390,49229,107802,81.5,55752,22560,275919,328554,163080,76.3,46887,53243,0.49,2.05,0.5207340772269919,16.36433809340023,0.450252146304031,4.5948526275163015,0.5400386343759056,5.5335330721364375,1.9156555452960222,0,5,5,2.8262063554335035,1.7995548992120338,216120.0,6,3,1,3,5575084450.0271,468614.0506626931
06041,Marin County,California,CA,256450,492.9,104654,112601,66959,37695,0.16,61,39.0,252646,103316,111322,75519,55.2,124285,71751,1159049,1277439,258475,496.8,105315,113714,0.16,0.21,0.14955586742460003,3.417114317026284,0.11430221465567048,1.148919351071666,0.1287570007733274,1.2950559448681713,1.5099694634597436,0,5,5,2.583064689447668,1.5411572248021796,48076.0,6,2,1,3,1360651037.6074219,420856.28557216213
06043,Mariposa County,California,CA,18293,12.6,7802,10512,5175,2627,0.02,103,23.2,18250,7692,10187,3923,43.1,52602,29051,292191,359415,17922,12.4,7665,10735,-0.41,0.64,0.02353669925312385,0.4221066064592128,0.31454429701087694,3.19034063021498,0.14209369113444836,1.4300572022880915,3.8787538406042277,0,5,5,3.691483632726853,1.4793919005075598,191935.0,6,5,1,4,3789648850.6342773,332840.1948048726
06045,Mendocino County,California,CA,88615,25.3,35356,41054,21904,13452,0.09,79,30.3,87823,34939,40324,32305,67.2,53841,29752,389943,476629,87980,25.1,35117,41697,-0.14,0.18,0.08981749351026913,1.9640908640015873,0.17957552511067565,1.810336276163079,0.11871466408446274,1.1935086865680185,2.576348615369099,0,5,5,3.364778210615752,1.27021498139184,419783.0,6,4,1,4,9097985586.175781,583482.1979955141
